model,N,K,M,m_tile,step,step_name,protocol,latency_us_p50,latency_us_p30,bandwidth_gbps,pct_of_spec_peak,clocks_sm_mhz,rel_l2,pass,config,pdl_trigger
deepseek_v4_pro,7168,16384,8,8,4,tile_stage,PDL,36.7526,36.6598,3202.118,0.800529,1830,1.670905e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
minimax_m3,6144,8192,1,8,4,tile_stage,PDL,16.3545,16.3292,3078.795,0.769699,1830,1.658379e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
minimax_m3,6144,8192,1,8,4,tile_stage,PDL,16.3687,16.3349,3076.121,0.769030,1830,1.658379e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
minimax_m3,6144,8192,1,8,4,tile_stage,PDL,16.7147,16.6980,3012.452,0.753113,1830,1.658379e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
minimax_m3,6144,8192,2,8,4,tile_stage,PDL,16.7079,16.6677,3014.896,0.753724,1830,1.647788e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
minimax_m3,6144,8192,2,8,4,tile_stage,PDL,16.6898,16.5461,3018.171,0.754543,1830,1.647788e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
minimax_m3,6144,8192,2,8,4,tile_stage,PDL,17.1534,17.0891,2936.592,0.734148,1830,1.647788e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
minimax_m3,6144,8192,4,8,4,tile_stage,PDL,16.8046,16.7595,2999.982,0.749996,1830,1.653507e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
minimax_m3,6144,8192,4,8,4,tile_stage,PDL,16.7890,16.7356,3002.778,0.750694,1830,1.653507e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
minimax_m3,6144,8192,4,8,4,tile_stage,PDL,17.2110,17.1687,2929.144,0.732286,1830,1.653507e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
minimax_m3,6144,8192,8,8,4,tile_stage,PDL,16.8608,16.8306,2994.845,0.748711,1830,1.652492e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
minimax_m3,6144,8192,8,8,4,tile_stage,PDL,16.8420,16.7381,2998.196,0.749549,1830,1.652492e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
minimax_m3,6144,8192,8,8,4,tile_stage,PDL,17.5218,17.5204,2881.870,0.720468,1830,1.652492e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
